col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15
1,2,30.83,0,4,1,10,2,1.25,1,1,1,0,1,202,0
1,1,58.67,4.46,4,1,9,3,3.04,1,1,6,0,1,43,560
1,1,24.5,0.5,4,1,9,3,1.5,1,0,0,0,1,280,824
1,2,27.83,1.54,4,1,10,2,3.75,1,1,5,1,1,100,3
1,2,20.17,5.625,4,1,10,2,1.71,1,0,0,0,3,120,0
1,2,32.08,4,4,1,7,2,2.5,1,0,0,1,1,360,0
1,2,33.17,1.04,4,1,8,3,6.5,1,0,0,1,1,164,31285
1,1,22.92,11.585,4,1,3,2,0.04,1,0,0,0,1,80,1349
1,2,54.42,0.5,3,2,6,3,3.96,1,0,0,0,1,180,314
1,2,42.5,4.915,3,2,10,2,3.165,1,0,0,1,1,52,1442
1,2,22.08,0.83,4,1,1,3,2.165,0,0,0,1,1,128,0
1,2,29.92,1.835,4,1,1,3,4.335,1,0,0,0,1,260,200
1,1,38.25,6,4,1,6,2,1,1,0,0,1,1,0,0
1,2,48.08,6.04,4,1,6,2,0.04,0,0,0,0,1,0,2690
1,1,45.83,10.5,4,1,9,2,5,1,1,7,1,1,0,0
1,2,36.67,4.415,3,2,6,2,0.25,1,1,10,1,1,320,0
1,2,28.25,0.875,4,1,7,2,0.96,1,1,3,1,1,396,0
1,1,23.25,5.875,4,1,9,2,3.17,1,1,10,0,1,120,245
1,2,21.83,0.25,4,1,2,3,0.665,1,0,0,1,1,0,0
1,1,19.17,8.585,4,1,3,3,0.75,1,1,7,0,1,96,0
1,2,25,11.25,4,1,1,2,2.5,1,1,17,0,1,200,1208
1,2,23.25,1,4,1,1,2,0.835,1,0,0,0,3,300,0
1,1,47.75,8,4,1,1,2,7.875,1,1,6,1,1,0,1260
1,1,27.42,14.5,4,1,11,3,3.085,1,1,1,0,1,120,11
1,1,41.17,6.5,4,1,9,2,0.5,1,1,3,1,1,145,0
1,1,15.83,0.585,4,1,1,3,1.5,1,1,2,0,1,100,0
1,1,47,13,4,1,4,4,5.165,1,1,9,1,1,0,0
1,2,56.58,18.5,4,1,2,4,15,1,1,17,1,1,0,0
1,2,57.42,8.5,4,1,12,3,7,1,1,3,0,1,0,0
1,2,42.08,1.04,4,1,10,2,5,1,1,6,1,1,500,10000
1,2,29.25,14.79,4,1,13,2,5.04,1,1,5,1,1,168,0
1,2,42,9.79,4,1,11,3,7.96,1,1,8,0,1,0,0
1,2,49.5,7.585,4,1,4,4,7.585,1,1,15,1,1,0,5000
1,1,36.75,5.125,4,1,12,2,5,1,0,0,1,1,0,4000
1,1,22.58,10.75,4,1,9,2,0.415,1,1,5,1,1,0,560
1,2,27.83,1.5,4,1,10,2,2,1,1,11,1,1,434,35
1,2,27.25,1.585,4,1,3,3,1.835,1,1,12,1,1,583,713
1,1,23,11.75,4,1,11,3,0.5,1,1,2,1,1,300,551
1,2,27.75,0.585,3,2,3,2,0.25,1,1,2,0,1,260,500
1,2,54.58,9.415,4,1,0,0,14.415,1,1,11,1,1,30,300
1,2,34.17,9.17,4,1,1,2,4.5,1,1,12,1,1,0,221
1,2,28.92,15,4,1,1,3,5.335,1,1,11,0,1,0,2283
1,2,29.67,1.415,4,1,10,3,0.75,1,1,1,0,1,240,100
1,2,39.58,13.915,4,1,10,2,8.625,1,1,6,1,1,70,0
1,2,56.42,28,3,2,1,2,28.5,1,1,40,0,1,0,15
1,2,54.33,6.75,4,1,1,3,2.625,1,1,11,1,1,0,284
1,1,41,2.04,3,2,9,3,0.125,1,1,23,1,1,455,1236
1,2,31.92,4.46,4,1,3,3,6.04,1,1,3,0,1,311,300
1,2,41.5,1.54,4,1,4,4,3.5,0,0,0,0,1,216,0
1,2,23.92,0.665,4,1,1,2,0.165,0,0,0,0,1,100,0
1,1,25.75,0.5,4,1,1,3,0.875,1,0,0,1,1,491,0
1,2,26,1,4,1,9,2,1.75,1,0,0,1,1,280,0
1,2,37.42,2.04,4,1,10,2,0.04,1,0,0,1,1,400,5800
1,2,34.92,2.5,4,1,10,2,0,1,0,0,1,1,239,200
1,2,34.25,3,4,1,3,3,7.415,1,0,0,1,1,0,0
1,2,23.33,11.625,3,2,10,2,0.835,1,0,0,1,1,160,300
1,2,23.17,0,4,1,3,2,0.085,1,0,0,0,1,0,0
1,2,44.33,0.5,4,1,4,3,5,1,0,0,1,1,320,0
1,2,35.17,4.5,4,1,11,3,5.75,0,0,0,1,3,711,0
1,2,43.25,3,4,1,9,3,6,1,1,11,0,1,80,0
1,2,56.75,12.25,4,1,7,2,1.25,1,1,4,1,1,200,0
1,2,31.67,16.165,4,1,2,2,3,1,1,9,0,1,250,730
1,1,23.42,0.79,3,2,9,2,1.5,1,1,2,1,1,80,400
1,1,20.42,0.835,4,1,9,2,1.585,1,1,1,0,1,0,0
1,2,26.67,4.25,4,1,3,2,4.29,1,1,1,1,1,120,0
1,2,34.17,1.54,4,1,3,2,1.54,1,1,1,1,1,520,50000
1,1,36,1,4,1,1,2,2,1,1,11,0,1,0,456
1,2,25.5,0.375,4,1,7,2,0.25,1,1,3,0,1,260,15108
1,2,19.42,6.5,4,1,10,3,1.46,1,1,7,0,1,80,2954
1,2,35.17,25.125,4,1,11,3,1.625,1,1,1,1,1,515,500
0,2,32.33,7.5,4,1,12,4,1.585,1,0,0,1,3,420,0
0,1,38.58,5,4,1,3,2,13.5,1,0,0,1,1,980,0
0,2,44.25,0.5,4,1,7,2,10.75,1,0,0,0,3,400,0
0,2,44.83,7,3,2,1,2,1.625,0,0,0,0,1,160,2
0,2,20.67,5.29,4,1,9,2,0.375,1,1,1,0,1,160,0
0,2,34.08,6.5,4,1,13,2,0.125,1,0,0,1,1,443,0
0,1,19.17,0.585,3,2,13,2,0.585,1,0,0,1,1,160,0
0,2,21.67,1.165,3,2,6,2,2.5,1,1,1,0,1,180,20
0,2,21.5,9.75,4,1,1,2,0.25,1,0,0,0,1,140,0
0,2,49.58,19,4,1,0,0,0,1,1,1,0,1,94,0
0,1,27.67,1.5,4,1,7,2,2,1,0,0,0,3,368,0
0,2,39.83,0.5,4,1,7,2,0.25,1,0,0,0,3,288,0
0,2,27.25,0.625,4,1,13,2,0.455,1,0,0,1,1,200,0
0,2,37.17,4,4,1,1,4,5,1,0,0,1,3,280,0
0,2,25.67,2.21,3,2,13,2,4,1,0,0,0,1,188,0
0,2,34,4.5,4,1,13,2,1,1,0,0,1,1,240,0
0,1,49,1.5,4,1,5,5,0,1,0,0,1,1,100,27
0,2,62.5,12.75,3,2,1,3,5,1,0,0,0,1,112,0
0,2,31.42,15.5,4,1,1,2,0.5,1,0,0,0,1,120,0
0,2,52.33,1.375,3,2,1,3,9.46,1,0,0,1,1,200,100
0,2,28.75,1.5,3,2,1,2,1.5,1,0,0,1,1,0,225
0,1,28.58,3.54,4,1,4,4,0.5,1,0,0,1,1,171,0
0,2,23,0.625,3,2,13,2,0.125,1,0,0,0,1,180,1
0,1,22.5,11,3,2,9,2,3,1,0,0,1,1,268,0
0,1,28.5,1,4,1,9,2,1,1,1,2,1,1,167,500
0,2,37.5,1.75,3,2,1,4,0.25,1,0,0,1,1,164,400
0,2,35.25,16.5,3,2,1,2,4,1,0,0,0,1,80,0
0,2,18.67,5,4,1,9,2,0.375,1,1,2,0,1,0,38
0,2,25,12,4,1,6,2,2.25,1,1,2,1,1,120,5
0,2,27.83,4,3,2,4,3,5.75,1,1,2,1,1,75,0
0,2,54.83,15.5,4,1,12,7,0,1,1,20,0,1,152,130
0,2,28.75,1.165,4,1,6,2,0.5,1,0,0,0,3,280,0
0,1,25,11,3,2,13,2,4.5,1,0,0,0,1,120,0
0,2,40.92,2.25,3,2,11,3,10,1,0,0,1,1,176,0
0,1,19.75,0.75,4,1,1,2,0.795,1,1,5,1,1,140,5
0,2,29.17,3.5,4,1,10,2,3.5,1,1,3,1,1,329,0
0,1,24.5,1.04,3,2,0,0,0.5,1,1,3,0,1,180,147
0,2,24.58,12.5,4,1,10,2,0.875,1,0,0,1,1,260,0
0,1,33.75,0.75,4,1,6,4,1,1,1,3,1,1,212,0
0,2,20.67,1.25,3,2,1,3,1.375,1,1,3,1,1,140,210
0,1,25.42,1.125,4,1,9,2,1.29,1,1,2,0,1,200,0
0,2,37.75,7,4,1,9,3,11.5,1,1,7,1,1,300,5
1,2,52.5,6.5,4,1,6,2,6.29,1,1,15,0,1,0,11202
1,2,57.83,7.04,4,1,7,2,14,1,1,6,1,1,360,1332
1,1,20.75,10.335,4,1,3,3,0.335,1,1,1,1,1,80,50
1,2,39.92,6.21,4,1,9,2,0.04,1,1,1,0,1,200,300
1,2,25.67,12.5,4,1,3,2,1.21,1,1,67,1,1,140,258
1,1,24.75,12.5,4,1,13,2,1.5,1,1,12,1,1,120,567
1,1,44.17,6.665,4,1,9,2,7.375,1,1,3,1,1,0,0
1,1,23.5,9,4,1,9,2,8.5,1,1,5,1,1,120,0
1,2,34.92,5,4,1,11,3,7.5,1,1,6,1,1,0,1000
1,2,47.67,2.5,4,1,7,4,2.5,1,1,12,1,1,410,2510
1,2,22.75,11,4,1,9,2,2.5,1,1,7,1,1,100,809
1,2,34.42,4.25,4,1,4,4,3.25,1,1,2,0,1,274,610
1,1,28.42,3.5,4,1,10,2,0.835,1,0,0,0,3,280,0
1,2,67.75,5.5,4,1,12,7,13,1,1,1,1,1,0,0
1,2,20.42,1.835,4,1,1,2,2.25,1,1,1,0,1,100,150
1,1,47.42,8,4,1,12,4,6.5,1,1,6,0,1,375,51100
1,2,36.25,5,4,1,1,4,2.5,1,1,6,0,1,0,367
1,2,32.67,5.5,4,1,9,3,5.5,1,1,12,1,1,408,1000
1,2,48.58,6.5,4,1,9,3,6,1,0,0,1,1,350,0
1,2,39.92,0.54,3,2,13,2,0.5,1,1,3,0,1,200,1000
1,2,33.58,2.75,4,1,7,2,4.25,1,1,6,0,1,204,0
1,1,18.83,9.5,4,1,10,2,1.625,1,1,6,1,1,40,600
1,1,26.92,13.5,4,1,9,3,5,1,1,2,0,1,0,5000
1,1,31.25,3.75,4,1,3,3,0.625,1,1,9,1,1,181,0
1,1,56.5,16,4,1,5,0,0,1,1,15,0,1,0,247
1,2,43,0.29,3,2,3,3,1.75,1,1,8,0,1,100,375
1,2,22.33,11,4,1,10,2,2,1,1,1,0,1,80,278
1,2,27.25,1.665,4,1,3,3,5.085,1,1,9,0,1,399,827
1,2,32.83,2.5,4,1,3,3,2.75,1,1,6,0,1,160,2072
1,2,23.25,1.5,4,1,9,2,2.375,1,1,3,1,1,0,582
1,1,40.33,7.54,3,2,9,3,8,1,1,14,0,1,0,2300
1,1,30.5,6.5,4,1,1,4,4,1,1,7,1,1,0,3065
1,1,52.83,15,4,1,1,2,5.5,1,1,14,0,1,0,2200
1,1,46.67,0.46,4,1,3,3,0.415,1,1,11,1,1,440,6
1,1,58.33,10,4,1,9,2,4,1,1,14,0,1,0,1602
1,2,37.33,6.5,4,1,7,3,4.25,1,1,12,1,1,93,0
1,2,23.08,2.5,4,1,1,2,1.085,1,1,11,1,1,60,2184
1,2,32.75,1.5,4,1,3,3,5.5,1,1,3,1,1,0,0
1,1,21.67,11.5,3,2,5,5,0,1,1,11,1,1,0,0
1,1,28.5,3.04,3,2,11,3,2.54,1,1,1,0,1,70,0
1,1,68.67,15,4,1,12,7,0,1,1,14,0,1,0,3376
1,2,28,2,4,1,6,3,4.165,1,1,2,1,1,181,0
1,2,34.08,0.08,3,2,7,4,0.04,1,1,1,1,1,280,2000
1,2,27.67,2,4,1,11,3,1,1,1,4,0,1,140,7544
1,2,44,2,4,1,7,2,1.75,1,1,2,1,1,0,15
1,2,25.08,1.71,4,1,11,2,1.665,1,1,1,1,1,395,20
1,2,32,1.75,3,2,12,3,0.04,1,0,0,1,1,393,0
1,1,60.58,16.5,4,1,9,2,11,1,0,0,1,1,21,10561
1,1,40.83,10,4,1,9,3,1.75,1,0,0,0,1,29,837
1,2,19.33,9.5,4,1,9,2,1,1,0,0,1,1,60,400
1,1,32.33,0.54,4,1,3,2,0.04,1,0,0,0,1,440,11177
1,2,36.67,3.25,4,1,9,3,9,1,0,0,1,1,102,639
1,2,37.5,1.125,3,2,2,2,1.5,0,0,0,1,1,431,0
1,1,25.08,2.54,3,2,13,2,0.25,1,0,0,1,1,370,0
1,2,41.33,0,4,1,1,4,15,1,0,0,0,1,0,0
1,2,56,12.5,4,1,6,3,8,1,0,0,1,1,24,2028
1,1,49.83,13.585,4,1,6,3,8.5,1,0,0,1,1,0,0
1,2,22.67,10.5,4,1,9,3,1.335,1,0,0,0,1,100,0
1,2,27,1.5,3,2,10,2,0.375,1,0,0,1,1,260,1065
1,2,25,12.5,4,1,13,2,3,1,0,0,1,3,20,0
1,1,26.08,8.665,4,1,13,2,1.415,1,0,0,0,1,160,150
1,1,18.42,9.25,4,1,9,2,1.21,1,1,4,0,1,60,540
1,2,20.17,8.17,4,1,13,2,1.96,1,1,14,0,1,60,158
1,2,47.67,0.29,4,1,1,4,15,1,1,20,0,1,0,15000
1,1,21.25,2.335,4,1,4,4,0.5,1,1,4,0,3,80,0
1,1,20.67,3,4,1,9,2,0.165,1,1,3,0,1,100,6
1,1,57.08,19.5,4,1,1,2,5.5,1,1,7,0,1,0,3000
1,1,22.42,5.665,4,1,9,2,2.585,1,1,7,0,1,129,3257
1,2,48.75,8.5,4,1,1,3,12.5,1,1,9,0,1,181,1655
1,2,40,6.5,4,1,13,4,3.5,1,1,1,0,1,0,500
1,2,40.58,5,4,1,1,2,5,1,1,7,0,1,0,3065
1,1,28.67,1.04,4,1,1,2,2.5,1,1,5,1,1,300,1430
1,1,33.08,4.625,4,1,9,3,1.625,1,1,2,0,1,0,0
1,2,21.33,10.5,4,1,1,2,3,1,0,0,1,1,0,0
1,2,42,0.205,4,1,4,3,5.125,1,0,0,0,1,400,0
1,2,41.75,0.96,4,1,11,2,2.5,1,0,0,0,1,510,600
1,2,22.67,1.585,3,2,10,2,3.085,1,1,6,0,1,80,0
1,2,34.5,4.04,3,2,4,4,8.5,1,1,7,1,1,195,0
1,2,28.25,5.04,3,2,1,4,1.5,1,1,8,1,1,144,7
1,2,33.17,3.165,3,2,11,2,3.165,1,1,3,1,1,380,0
1,2,48.17,7.625,4,1,10,3,15.5,1,1,12,0,1,0,790
1,2,27.58,2.04,3,2,13,2,2,1,1,3,1,1,370,560
1,2,22.58,10.04,4,1,11,2,0.04,1,1,9,0,1,60,396
1,1,24.08,0.5,4,1,9,3,1.25,1,1,1,0,1,0,678
1,1,41.33,1,4,1,4,4,2.25,1,0,0,1,1,0,300
1,1,20.75,10.25,4,1,9,2,0.71,1,1,2,1,1,49,0
1,2,36.33,2.125,3,2,10,2,0.085,1,1,1,0,1,50,1187
1,1,35.42,12,4,1,9,3,14,1,1,8,0,1,0,6590
1,2,28.67,9.335,4,1,9,3,5.665,1,1,6,0,1,381,168
1,2,35.17,2.5,4,1,6,2,4.5,1,1,7,0,1,150,1270
1,2,39.5,4.25,4,1,1,4,6.5,1,1,16,0,1,117,1210
1,2,39.33,5.875,4,1,3,3,10,1,1,14,1,1,399,0
1,2,24.33,6.625,3,2,2,2,5.5,1,0,0,1,3,100,0
1,2,60.08,14.5,4,1,0,0,18,1,1,15,1,1,0,1000
1,2,23.08,11.5,4,1,4,2,3.5,1,1,9,0,1,56,742
1,2,26.67,2.71,3,2,3,2,5.25,1,1,1,0,1,211,0
1,2,48.17,3.5,4,1,13,2,3.5,1,0,0,0,3,230,0
1,2,41.17,4.04,4,1,3,3,7,1,1,8,0,1,320,0
1,2,55.92,11.5,4,1,0,0,5,1,1,5,0,1,0,8851
1,2,53.92,9.625,4,1,12,2,8.665,1,1,5,0,1,0,0
1,1,18.92,9.25,3,2,1,2,1,1,1,4,1,1,80,500
1,1,50.08,12.54,4,1,13,2,2.29,1,1,3,1,1,156,0
1,2,65.42,11,4,1,12,7,20,1,1,7,1,1,22,0
1,1,17.58,9,4,1,13,2,1.375,1,0,0,1,1,0,0
1,1,18.83,9.54,4,1,13,2,0.085,1,0,0,0,1,100,0
1,1,37.75,5.5,4,1,9,2,0.125,1,0,0,1,1,228,0
1,2,23.25,4,4,1,1,4,0.25,1,0,0,1,1,160,0
1,2,18.08,5.5,4,1,6,2,0.5,1,0,0,0,1,80,0
1,1,22.5,8.46,3,2,11,2,2.46,0,0,0,0,1,164,0
1,2,19.67,0.375,4,1,9,2,2,1,1,2,1,1,80,0
1,2,22.08,11,4,1,3,2,0.665,1,0,0,0,1,100,0
1,2,25.17,3.5,4,1,3,2,0.625,1,1,7,0,1,0,7059
1,1,47.42,3,4,1,11,2,13.875,1,1,2,1,1,519,1704
1,2,33.5,1.75,4,1,11,3,4.5,1,1,4,1,1,253,857
1,2,27.67,13.75,4,1,10,2,5.75,1,0,0,1,1,487,500
1,1,58.42,21,4,1,4,4,10,1,1,13,0,1,0,6700
1,1,20.67,1.835,4,1,9,2,2.085,1,1,5,0,1,220,2503
1,2,26.17,0.25,4,1,4,4,0,1,0,0,1,1,0,0
1,2,21.33,7.5,4,1,13,2,1.415,1,1,1,0,1,80,9800
1,2,42.83,4.625,4,1,9,2,4.58,1,0,0,0,3,0,0
1,2,38.17,10.125,4,1,11,2,2.5,1,1,6,0,1,520,196
1,2,20.5,10,3,2,1,2,2.5,1,0,0,0,3,40,0
1,2,48.25,25.085,4,1,10,2,1.75,1,1,3,0,1,120,14
1,2,28.33,5,4,1,10,2,11,1,0,0,1,1,70,0
1,2,18.5,2,4,1,4,2,1.5,1,1,2,0,1,120,300
1,2,33.17,3.04,3,2,1,3,2.04,1,1,1,1,1,180,18027
1,2,45,8.5,4,1,3,3,14,1,1,1,1,1,88,2000
1,1,19.67,0.21,4,1,9,3,0.29,1,1,11,0,1,80,99
1,2,21.83,11,4,1,11,2,0.29,1,1,6,0,1,121,0
1,2,40.25,21.5,4,1,12,7,20,1,1,11,0,1,0,1200
1,2,41.42,5,4,1,9,3,5,1,1,6,1,1,470,0
1,1,17.83,11,4,1,11,3,1,1,1,11,0,1,0,3000
1,2,23.17,11.125,4,1,11,3,0.46,1,1,1,0,1,100,0
0,2,18.17,10.25,4,1,1,3,1.085,0,0,0,0,1,320,13
0,2,20,11.045,4,1,1,2,2,0,0,0,1,1,136,0
0,2,20,0,4,1,2,2,0.5,0,0,0,0,1,144,0
0,1,20.75,9.54,4,1,4,2,0.04,0,0,0,0,1,200,1000
0,1,24.5,1.75,3,2,1,2,0.165,0,0,0,0,1,132,0
0,2,32.75,2.335,4,1,2,3,5.75,0,0,0,1,1,292,0
0,1,52.17,0,3,2,0,0,0,0,0,0,0,1,0,0
0,1,48.17,1.335,4,1,4,10,0.335,0,0,0,0,1,0,120
0,1,20.42,10.5,3,2,11,3,0,0,0,0,1,1,154,32
0,2,50.75,0.585,4,1,0,0,0,0,0,0,0,1,145,0
0,2,17.08,0.085,3,2,1,2,0.04,0,0,0,0,1,140,722
0,2,18.33,1.21,3,2,12,8,0,0,0,0,0,1,100,0
0,1,32,6,4,1,2,2,1.25,0,0,0,0,1,272,0
1,2,59.67,1.54,4,1,9,2,0.125,1,0,0,1,1,260,0
1,2,18,0.165,4,1,9,6,0.21,0,0,0,0,1,200,40
0,2,32.33,2.5,4,1,1,2,1.25,0,0,0,1,1,280,0
0,2,18.08,6.75,3,2,7,2,0.04,0,0,0,0,1,140,0
0,2,38.25,10.125,3,2,6,2,0.125,0,0,0,0,1,160,0
0,2,30.67,2.5,4,1,3,3,2.25,0,0,0,1,3,340,0
0,2,18.58,5.71,4,1,2,2,0.54,0,0,0,0,1,120,0
0,1,19.17,5.415,4,1,4,3,0.29,0,0,0,0,1,80,484
0,1,18.17,10,3,2,9,3,0.165,0,0,0,0,1,340,0
0,2,16.25,0.835,4,1,7,2,0.085,1,0,0,0,3,200,0
0,2,21.17,0.875,3,2,1,3,0.25,0,0,0,0,1,280,204
0,2,23.92,0.585,3,2,3,3,0.125,0,0,0,0,1,240,1
0,2,17.67,4.46,4,1,1,2,0.25,0,0,0,0,3,80,0
0,1,16.5,1.25,4,1,9,2,0.25,0,1,1,0,1,108,98
0,2,23.25,12.625,4,1,1,2,0.125,0,1,2,0,1,0,5552
0,2,17.58,10,4,1,10,3,0.165,0,1,1,0,1,120,1
0,2,29.5,0.58,4,1,10,2,0.29,0,1,1,0,1,340,2803
0,2,18.83,0.415,3,2,1,2,0.165,0,1,1,0,1,200,1
0,1,21.75,1.75,3,2,5,5,0,0,0,0,0,1,160,0
0,2,23,0.75,4,1,7,2,0.5,0,0,0,1,3,320,0
0,1,18.25,10,4,1,10,2,1,0,1,1,0,1,120,1
0,2,25.42,0.54,4,1,10,2,0.165,0,1,1,0,1,272,444
0,2,35.75,2.415,4,1,10,2,0.125,0,1,2,0,1,220,1
0,1,16.08,0.335,4,1,0,0,0,0,1,1,0,1,160,126
0,1,31.92,3.125,4,1,0,0,3.04,0,1,2,1,1,200,4
0,2,69.17,9,4,1,0,0,4,0,1,1,0,1,70,6
0,2,32.92,2.5,4,1,13,2,1.75,0,1,2,1,1,720,0
0,2,16.33,2.75,4,1,13,2,0.665,0,1,1,0,1,80,21
0,2,22.17,12.125,4,1,1,2,3.335,0,1,2,1,1,180,173
0,1,57.58,2,4,1,0,0,6.5,0,1,1,0,1,0,10
0,2,18.25,0.165,4,1,2,2,0.25,0,0,0,1,3,280,0
0,2,23.42,1,4,1,1,2,0.5,0,0,0,1,3,280,0
0,1,15.92,2.875,4,1,9,2,0.085,0,0,0,0,1,120,0
0,1,24.75,13.665,4,1,9,3,1.5,0,0,0,0,1,280,1
0,2,48.75,26.335,3,2,0,0,0,1,0,0,1,1,0,0
0,2,23.5,2.75,4,1,0,0,4.5,0,0,0,0,1,160,25
0,2,18.58,10.29,4,1,0,0,0.415,0,0,0,0,1,80,0
0,2,27.75,1.29,4,1,6,3,0.25,0,0,0,1,3,140,0
0,1,31.75,3,3,2,5,5,0,0,0,0,0,1,160,20
0,1,24.83,4.5,4,1,10,2,1,0,0,0,1,1,360,6
0,2,19,1.75,3,2,1,2,2.335,0,0,0,1,1,112,6
0,1,16.33,0.21,4,1,13,2,0.125,0,0,0,0,1,200,1
0,1,18.58,10,4,1,2,2,0.415,0,0,0,0,1,80,42
0,2,16.25,0,3,2,13,2,0.25,0,0,0,0,1,60,0
0,2,23,0.75,4,1,7,2,0.5,1,0,0,1,3,320,0
0,2,21.17,0.25,3,2,1,3,0.25,0,0,0,0,1,280,204
1,2,17.5,22,2,3,0,10,0,0,0,0,1,2,450,100000
1,2,19.17,0,3,2,7,4,0,0,0,0,1,3,500,1
1,2,36.75,0.125,3,2,1,2,1.5,0,0,0,1,1,232,113
1,2,21.25,1.5,4,1,10,2,1.5,0,0,0,0,1,150,8
1,1,18.08,0.375,2,3,3,0,10,0,0,0,1,3,300,0
1,1,33.67,0.375,4,1,3,2,0.375,0,0,0,0,1,300,44
1,2,48.58,0.205,3,2,6,2,0.25,1,1,11,0,1,380,2732
0,2,33.67,1.25,4,1,10,2,1.165,0,0,0,0,1,120,0
0,1,29.5,1.085,3,2,11,2,1,0,0,0,0,1,280,13
0,2,30.17,1.085,3,2,1,2,0.04,0,0,0,0,1,170,179
0,2,34.83,2.5,3,2,10,2,3,0,0,0,0,3,200,0
0,1,33.25,2.5,3,2,1,2,2.5,0,0,0,1,1,0,2
0,2,34.08,2.5,4,1,1,2,1,0,0,0,0,1,460,16
0,1,25.25,12.5,4,1,2,2,1,0,0,0,1,1,180,1062
0,2,34.75,2.5,4,1,3,4,0.5,0,0,0,0,1,348,0
0,2,27.67,0.75,4,1,9,3,0.165,0,0,0,1,1,220,251
0,2,47.33,6.5,4,1,1,2,1,0,0,0,1,1,0,228
0,1,34.83,1.25,3,2,4,3,0.5,0,0,0,1,1,160,0
0,1,33.25,3,3,2,13,2,2,0,0,0,0,1,180,0
0,2,28,3,4,1,10,2,0.75,0,0,0,1,1,300,67
0,1,39.08,4,4,1,1,2,3,0,0,0,0,1,480,0
